app_id,name,release_date,is_free,developer,publisher,owners_range,price
10,Counter-Strike,2000-11-01,0,Valve,Valve,"10,000,000 .. 20,000,000",9.99
20,Team Fortress Classic,1999-04-01,0,Valve,Valve,"5,000,000 .. 10,000,000",4.99
30,Day of Defeat,2003-05-01,0,Valve,Valve,"5,000,000 .. 10,000,000",4.99
40,Deathmatch Classic,2001-06-01,0,Valve,Valve,"5,000,000 .. 10,000,000",4.99
50,Half-Life: Opposing Force,1999-11-01,0,Gearbox Software,Valve,"2,000,000 .. 5,000,000",4.99
60,Ricochet,2000-11-01,0,Valve,Valve,"5,000,000 .. 10,000,000",4.99
70,Half-Life,1998-11-08,0,Valve,Valve,"10,000,000 .. 20,000,000",9.99
80,Counter-Strike: Condition Zero,2004-03-01,0,Valve,Valve,"5,000,000 .. 10,000,000",9.99
130,Half-Life: Blue Shift,2001-06-01,0,Gearbox Software,Valve,"1,000,000 .. 2,000,000",4.99
219,Half-Life 2: Demo,2004-12-01,1,Valve,Valve,"0 .. 20,000",0.0
220,Half-Life 2,2004-11-16,0,Valve,Valve,"2,000,000 .. 5,000,000",9.99
240,Counter-Strike: Source,2004-11-01,0,Valve,Valve,"2,000,000 .. 5,000,000",9.99
280,Half-Life: Source,2004-06-01,0,Valve,Valve,"500,000 .. 1,000,000",9.99
300,Day of Defeat: Source,2010-07-12,0,Valve,Valve,"5,000,000 .. 10,000,000",9.99
320,Half-Life 2: Deathmatch,2004-11-01,0,Valve,Valve,"500,000 .. 1,000,000",4.99
340,Half-Life 2: Lost Coast,N,0,Valve,Valve,"20,000,000 .. 50,000,000",0.0
360,Half-Life Deathmatch: Source,N,0,Valve,Valve,"5,000,000 .. 10,000,000",9.99
380,Half-Life 2: Episode One,N,0,Valve,Valve,"2,000,000 .. 5,000,000",7.99
400,Portal,2007-10-10,0,Valve,Valve,"10,000,000 .. 20,000,000",9.99
410,Portal: First Slice,2008-05-08,1,Valve,Valve,"0 .. 20,000",0.0
420,Half-Life 2: Episode Two,2007-10-10,0,Valve,Valve,"5,000,000 .. 10,000,000",7.99
440,Team Fortress 2,2007-10-10,1,Valve,Valve,"50,000,000 .. 100,000,000",0.0
500,Left 4 Dead,2008-11-17,0,Valve,Valve,"5,000,000 .. 10,000,000",9.99
550,Left 4 Dead 2,2009-11-16,0,Valve,Valve,"50,000,000 .. 100,000,000",9.99
570,Dota 2,N,1,Valve,Valve,"200,000,000 .. 500,000,000",0.0
620,Portal 2,2011-04-18,0,Valve,Valve,"10,000,000 .. 20,000,000",9.99
630,Alien Swarm,2010-07-19,1,Valve,Valve,"2,000,000 .. 5,000,000",0.0
730,Counter-Strike 2,N,1,Valve,Valve,"100,000,000 .. 200,000,000",0.0
1002,Rag Doll Kung Fu,2005-10-12,0,Mark Healey,Mark Healey,"20,000 .. 50,000",0.99
1003,Rag Doll Kung Fu Demo,2005-10-12,1,Mark Healey,Mark Healey,"0 .. 20,000",0.0
1200,Red Orchestra: Ostfront 41-45,2006-03-14,0,Tripwire Interactive,Tripwire Interactive,"200,000 .. 500,000",4.99
1250,Killing Floor,2009-05-14,0,Tripwire Interactive,Tripwire Interactive,"2,000,000 .. 5,000,000",19.99
1300,SiN Episodes: Emergence,2006-05-10,0,Ritual Entertainment,Ritual Entertainment,"100,000 .. 200,000",9.99
1313,SiN: Gold,2020-03-18,0,"Ritual Entertainment, Nightdive Studios",Nightdive Studios,"0 .. 20,000",9.99
1500,Darwinia,2005-07-14,0,Introversion Software,Introversion Software,"100,000 .. 200,000",9.99
1502,Darwinia Demo,2005-07-14,1,Introversion Software,Introversion Software,"0 .. 20,000",0.0
1510,Uplink,2006-08-23,0,Introversion Software,Introversion Software,"500,000 .. 1,000,000",9.99
1520,DEFCON,2006-09-29,0,Introversion Software,Introversion Software,"200,000 .. 500,000",9.99
1522,DEFCON Demo,2006-09-29,1,Introversion Software,Introversion Software,"0 .. 20,000",0.0
1530,Multiwinia,2008-09-19,0,Introversion Software,Introversion Software,"50,000 .. 100,000",9.99
1540,Multiwinia Demo,2008-09-19,1,Introversion Software,Introversion Software,"0 .. 20,000",0.0
1600,Dangerous Waters,2006-02-07,0,Sonalysts,Strategy First,"100,000 .. 200,000",2.99
1610,Space Empires IV Deluxe,2006-02-07,0,Malfador Machinations,Strategy First,"50,000 .. 100,000",9.99
1620,Jagged Alliance 2 Gold,2006-07-06,0,Strategy First,Strategy First,"0 .. 20,000",3.99
1630,Disciples II: Rise of the Elves ,2006-07-06,0,Strategy First,Strategy First,"50,000 .. 100,000",1.19
1640,Disciples II: Gallean's Return,2006-07-06,0,Strategy First,Strategy First,"50,000 .. 100,000",1.19
1670,Iron Warriors: T - 72 Tank Command ,2006-07-26,0,Strategy First,HandyGames,"200,000 .. 500,000",5.99
1690,Space Empires V,2006-10-16,0,Malfador Machinations,Strategy First,"100,000 .. 200,000",14.99
1700,Arx Fatalis,2007-04-03,0,Arkane Studios,Arkane Studios,"200,000 .. 500,000",1.64
1710,Arx Fatalis Demo,2007-04-04,1,Arkane Studios,Arkane Studios,"0 .. 20,000",0.0
1840,Source Filmmaker,2012-07-10,1,Valve,Valve,"1,000,000 .. 2,000,000",0.0
1900,Earth 2160,2006-04-01,0,Reality Pump Studios,"Topware Interactive, ACE","200,000 .. 500,000",9.99
1930,Two Worlds Epic Edition,2009-04-30,0,Reality Pump Studios,Topware Interactive,"1,000,000 .. 2,000,000",14.99
2100,Dark Messiah of Might & Magic,2006-10-25,0,Arkane Studios,Ubisoft,"1,000,000 .. 2,000,000",9.99
2120,Dark Messiah Singleplayer Demo,2006-09-07,1,Arkane Studios,Ubisoft,"0 .. 20,000",0.0
2200,Quake III Arena,2007-08-03,0,id Software,id Software,"500,000 .. 1,000,000",14.99
2210,Quake 4,2011-08-04,0,"RavenSoft, id Software",Bethesda Softworks,"200,000 .. 500,000",14.99
2270,Wolfenstein 3D,2007-08-03,0,id Software,Bethesda Softworks,"500,000 .. 1,000,000",4.99
2310,Quake,2007-08-03,0,"id Software, Nightdive Studios, MachineGames",Bethesda Softworks,"2,000,000 .. 5,000,000",9.99
2320,Quake II,2007-08-03,0,"id Software, Nightdive Studios, MachineGames",Bethesda Softworks,"1,000,000 .. 2,000,000",9.99
2360,Hexen: Beyond Heretic,2007-08-03,0,Raven Software,id Software,"200,000 .. 500,000",4.99
2370,Hexen: Deathkings of the Dark Citadel,2007-08-03,0,Raven Software,id Software,"200,000 .. 500,000",4.99
2390,Heretic: Shadow of the Serpent Riders,2007-08-03,0,Raven Software,id Software,"100,000 .. 200,000",4.99
2400,The Ship: Murder Party,2006-07-11,0,Outerlight Ltd.,Blazing Griffin,"1,000,000 .. 2,000,000",9.99
2420,The Ship: Single Player,2006-11-20,0,Outerlight Ltd.,Blazing Griffin Ltd.,"200,000 .. 500,000",9.99
2450,Bloody Good Time,2010-10-29,0,Outerlight Ltd.,Ubisoft,"100,000 .. 200,000",4.99
2500,Shadowgrounds,2006-05-08,0,Frozenbyte,Frozenbyte,"200,000 .. 500,000",1.04
2510,Shadowgrounds Demo,2006-05-01,1,Frozenbyte,Frozenbyte,"0 .. 20,000",0.0
2520,Gumboy - Crazy Adventures™,2006-12-19,0,"CINEMAX, s.r.o.","CINEMAX, s.r.o.","50,000 .. 100,000",4.99
2540,RIP - Trilogy™,2007-06-01,0,Elephant Games,Dreamatrix,"100,000 .. 200,000",4.99
2590,Alpha Prime,2007-11-07,0,Black Element,Bohemia Interactive,"200,000 .. 500,000",4.99
